period_begin,period_end,median_sale_price,median_price_mapped,cases,cases_mapped
2020-03-16,2020-03-22,175000.0,0.024390243902439025,35,0.0
2020-03-23,2020-03-29,180000.0,0.14634146341463417,217,0.15230125523012553
2020-03-30,2020-04-05,192750.0,0.4573170731707317,315,0.23430962343096232
2020-04-06,2020-04-12,180464.0,0.15765853658536585,215,0.1506276150627615
2020-04-13,2020-04-19,196275.0,0.5432926829268293,159,0.10376569037656903
2020-04-20,2020-04-26,179900.0,0.14390243902439026,169,0.11213389121338911
2020-04-27,2020-05-03,200000.0,0.6341463414634146,121,0.07196652719665271
2020-05-04,2020-05-10,200000.0,0.6341463414634146,138,0.08619246861924686
2020-05-11,2020-05-17,182000.0,0.1951219512195122,92,0.04769874476987447
2020-05-18,2020-05-24,187500.0,0.32926829268292684,136,0.08451882845188284
2020-05-25,2020-05-31,174000.0,0.0,106,0.059414225941422594
2020-06-01,2020-06-07,210000.0,0.8780487804878049,84,0.04100418410041841
2020-06-08,2020-06-14,190500.0,0.4024390243902439,71,0.0301255230125523
2020-06-15,2020-06-21,200000.0,0.6341463414634146,89,0.04518828451882845
2020-06-22,2020-06-28,190000.0,0.3902439024390244,348,0.2619246861924686
2020-06-29,2020-07-05,210000.0,0.8780487804878049,906,0.7288702928870292
2020-07-06,2020-07-12,193250.0,0.46951219512195125,1187,0.9640167364016736
2020-07-13,2020-07-19,210000.0,0.8780487804878049,1230,1.0
2020-07-20,2020-07-26,199900.0,0.6317073170731707,859,0.6895397489539749
2020-07-27,2020-08-02,201000.0,0.6585365853658537,768,0.6133891213389121
2020-08-03,2020-08-09,200000.0,0.6341463414634146,547,0.42845188284518826
2020-08-10,2020-08-16,200000.0,0.6341463414634146,501,0.3899581589958159
2020-08-17,2020-08-23,209747.0,0.8718780487804878,399,0.30460251046025105
2020-08-24,2020-08-30,200000.0,0.6341463414634146,378,0.2870292887029289
2020-08-31,2020-09-06,206800.0,0.8,424,0.32552301255230126
2020-09-07,2020-09-13,195000.0,0.5121951219512195,316,0.23514644351464434
2020-09-14,2020-09-20,215000.0,1.0,469,0.3631799163179916
2020-09-21,2020-09-27,196500.0,0.5487804878048781,383,0.2912133891213389
2020-09-28,2020-10-04,193250.0,0.46951219512195125,497,0.38661087866108784
2020-10-05,2020-10-11,207000.0,0.8048780487804879,503,0.3916317991631799
2020-10-12,2020-10-18,199000.0,0.6097560975609756,713,0.5673640167364017
2020-10-19,2020-10-25,195000.0,0.5121951219512195,748,0.5966527196652719
2020-10-26,2020-11-01,205000.0,0.7560975609756098,945,0.7615062761506276
